user_id,steps_day,steps_night,day_ratio,hours_sum,hours_ratio
1,2.0,0.0,1.0,1,0.02040816326530612
2,31.0,0.0,1.0,1,0.02040816326530612
3,62.0,0.0,1.0,2,0.04081632653061224
4,3.0,0.0,1.0,1,0.02040816326530612
5,7.0,0.0,1.0,2,0.04081632653061224
6,3.0,0.0,1.0,1,0.02040816326530612
7,3.0,0.0,1.0,1,0.02040816326530612
8,414.0,0.0,1.0,1,0.02040816326530612
9,10.0,0.0,1.0,1,0.02040816326530612
10,10.0,0.0,1.0,3,0.061224489795918366
11,3.0,0.0,1.0,1,0.02040816326530612
12,39.0,0.0,1.0,1,0.02040816326530612
13,240.0,105.0,0.6956521739130435,15,0.30612244897959184
14,18.0,0.0,1.0,2,0.04081632653061224
15,43.0,0.0,1.0,7,0.14285714285714285
16,272.0,6.0,0.9784172661870504,11,0.22448979591836735
17,0.0,27.0,0.0,2,0.04081632653061224
18,8.0,0.0,1.0,1,0.02040816326530612
19,3.0,0.0,1.0,1,0.02040816326530612
20,31.0,0.0,1.0,1,0.02040816326530612
21,437.0,0.0,1.0,3,0.061224489795918366
22,183.0,18.0,0.9104477611940298,14,0.2857142857142857
23,0.0,3.0,0.0,1,0.02040816326530612
24,4.0,0.0,1.0,1,0.02040816326530612
25,66.0,35.0,0.6534653465346535,5,0.10204081632653061
26,97.0,17.0,0.8508771929824561,6,0.12244897959183673
28,4.0,0.0,1.0,1,0.02040816326530612
30,37.0,0.0,1.0,2,0.04081632653061224
31,101.0,0.0,1.0,3,0.061224489795918366
32,48.0,0.0,1.0,1,0.02040816326530612
33,12.0,0.0,1.0,1,0.02040816326530612
34,0.0,108.0,0.0,4,0.08163265306122448
35,117.0,70.0,0.6256684491978609,10,0.20408163265306123
36,0.0,3.0,0.0,1,0.02040816326530612
37,4.0,0.0,1.0,2,0.04081632653061224
38,2.0,0.0,1.0,1,0.02040816326530612
39,45.0,0.0,1.0,3,0.061224489795918366
40,3.0,0.0,1.0,1,0.02040816326530612
41,9.0,0.0,1.0,1,0.02040816326530612
42,3.0,0.0,1.0,1,0.02040816326530612
43,0.0,187.0,0.0,2,0.04081632653061224
44,42.0,0.0,1.0,1,0.02040816326530612
45,1.0,31.0,0.03125,2,0.04081632653061224
46,90.0,0.0,1.0,3,0.061224489795918366
47,30.0,0.0,1.0,1,0.02040816326530612
48,2.0,0.0,1.0,1,0.02040816326530612
49,31.0,0.0,1.0,1,0.02040816326530612
50,37.0,0.0,1.0,1,0.02040816326530612
51,0.0,3.0,0.0,1,0.02040816326530612
52,1.0,2.0,0.3333333333333333,2,0.04081632653061224
53,42.0,0.0,1.0,1,0.02040816326530612
54,31.0,0.0,1.0,1,0.02040816326530612
