user_id,events_day,submissions_day,loc_day
1,1.0,0.0,0.05012302284710018
2,1.0,1.0,0.1691602854250326
3,1.0,1.0,0.1691602854250326
4,1.0,0.0,0.05012302284710018
5,1.0,1.0,0.1691602854250326
6,1.0,0.0,0.05012302284710018
7,1.0,0.0,0.05012302284710018
8,1.0,1.0,0.1691602854250326
9,1.0,0.0,0.05012302284710018
10,1.0,0.0,0.05012302284710018
11,1.0,0.0,0.05012302284710018
12,1.0,1.0,0.1691602854250326
13,2.0,2.0,0.5160517536047575
14,1.0,1.0,0.1691602854250326
15,1.0,3.0,0.537606553808892
16,2.0,2.0,0.5160517536047575
17,1.0,1.0,0.1691602854250326
18,1.0,0.0,0.05012302284710018
19,1.0,0.0,0.05012302284710018
20,1.0,0.0,0.05012302284710018
21,2.0,1.0,0.3156799484292514
22,2.0,2.0,0.5160517536047575
23,1.0,0.0,0.05012302284710018
24,1.0,0.0,0.05012302284710018
25,2.0,1.0,0.3156799484292514
26,2.0,1.0,0.3156799484292514
28,1.0,0.0,0.05012302284710018
30,2.0,1.0,0.31664205299709414
31,2.0,2.0,0.5160517536047575
32,1.0,1.0,0.1691602854250326
33,1.0,0.0,0.05012302284710018
34,2.0,2.0,0.5160517536047575
35,3.0,3.0,0.8260612527994255
36,1.0,0.0,0.05012302284710018
37,1.0,1.0,0.1691602854250326
38,1.0,0.0,0.05012302284710018
39,2.0,1.0,0.3156799484292514
40,1.0,0.0,0.05012302284710018
41,1.0,0.0,0.05012302284710018
42,1.0,0.0,0.05012302284710018
43,2.0,2.0,0.5160517536047575
44,1.0,1.0,0.1691602854250326
45,1.0,1.0,0.1691602854250326
46,1.0,1.0,0.1691602854250326
47,1.0,0.0,0.05012302284710018
48,1.0,0.0,0.05012302284710018
49,1.0,1.0,0.1691602854250326
50,1.0,1.0,0.1691602854250326
51,1.0,0.0,0.05012302284710018
52,2.0,0.0,0.19664268585131894
53,1.0,0.0,0.05012302284710018
54,1.0,1.0,0.1691602854250326
55,1.0,1.0,0.1691602854250326
56,1.0,0.0,0.05012302284710018
57,3.0,2.0,0.6687957903734593
58,2.0,1.0,0.31664205299709414
59,1.0,0.0,0.05012302284710018
60,2.0,1.0,0.31664205299709414
62,1.0,1.0,0.1691602854250326
63,1.0,1.0,0.1691602854250326
64,1.0,0.0,0.05012302284710018
65,1.0,0.0,0.05012302284710018
66,1.0,1.0,0.1691602854250326
67,2.0,2.0,0.5160517536047575
68,1.0,1.0,0.1691602854250326
69,1.0,0.0,0.05012302284710018
70,1.0,1.0,0.1691602854250326
71,1.0,0.0,0.05012302284710018
72,1.0,0.0,0.05012302284710018
73,1.0,1.0,0.1691602854250326
74,1.0,1.0,0.1691602854250326
75,2.0,1.0,0.3156799484292514
76,3.0,1.0,0.45761498441556614
77,1.0,0.0,0.05012302284710018
78,1.0,1.0,0.1691602854250326
79,1.0,0.0,0.05012302284710018
80,1.0,1.0,0.1691602854250326
81,1.0,1.0,0.1691602854250326
82,1.0,0.0,0.05012302284710018
84,1.0,0.0,0.05012302284710018
