user_id,date_1,date_2,date_3
1,2016-09-02,2000-01-01,2000-01-01
2,2017-12-27,2000-01-01,2000-01-01
3,2015-06-15,2000-01-01,2000-01-01
4,2018-06-18,2000-01-01,2000-01-01
5,2016-06-17,2000-01-01,2000-01-01
6,2019-01-07,2000-01-01,2000-01-01
7,2018-03-21,2000-01-01,2000-01-01
8,2016-12-01,2000-01-01,2000-01-01
9,2017-01-21,2000-01-01,2000-01-01
10,2018-08-18,2000-01-01,2000-01-01
11,2018-05-12,2000-01-01,2000-01-01
12,2018-09-19,2000-01-01,2000-01-01
13,2018-07-31,2018-08-01,2000-01-01
14,2015-07-08,2000-01-01,2000-01-01
15,2018-11-18,2000-01-01,2000-01-01
16,2015-06-30,2015-07-01,2000-01-01
17,2016-06-12,2000-01-01,2000-01-01
18,2015-08-02,2000-01-01,2000-01-01
19,2018-12-04,2000-01-01,2000-01-01
20,2015-09-23,2000-01-01,2000-01-01
21,2018-11-04,2018-11-05,2000-01-01
22,2017-06-27,2017-06-28,2000-01-01
23,2018-07-23,2000-01-01,2000-01-01
24,2018-04-26,2000-01-01,2000-01-01
25,2018-04-26,2018-04-27,2000-01-01
26,2016-10-19,2016-10-20,2000-01-01
28,2015-09-15,2000-01-01,2000-01-01
30,2016-06-30,2000-01-01,2016-07-02
31,2017-01-28,2017-01-29,2000-01-01
32,2017-12-13,2000-01-01,2000-01-01
33,2015-08-04,2000-01-01,2000-01-01
34,2017-04-25,2017-04-26,2000-01-01
35,2018-06-23,2018-06-24,2018-06-25
36,2018-01-10,2000-01-01,2000-01-01
37,2017-11-24,2000-01-01,2000-01-01
38,2015-07-07,2000-01-01,2000-01-01
39,2016-03-02,2016-03-03,2000-01-01
40,2018-09-12,2000-01-01,2000-01-01
41,2016-05-26,2000-01-01,2000-01-01
42,2015-12-05,2000-01-01,2000-01-01
43,2015-07-22,2015-07-23,2000-01-01
44,2017-08-15,2000-01-01,2000-01-01
45,2018-10-31,2000-01-01,2000-01-01
46,2015-06-28,2000-01-01,2000-01-01
47,2015-06-19,2000-01-01,2000-01-01
48,2017-01-04,2000-01-01,2000-01-01
49,2015-06-15,2000-01-01,2000-01-01
50,2015-11-06,2000-01-01,2000-01-01
51,2015-11-02,2000-01-01,2000-01-01
52,2015-07-08,2015-07-09,2000-01-01
53,2018-01-15,2000-01-01,2000-01-01
54,2017-09-23,2000-01-01,2000-01-01
55,2019-01-16,2000-01-01,2000-01-01
56,2018-03-23,2000-01-01,2000-01-01
57,2018-04-28,2018-04-29,2018-04-30
58,2018-06-15,2000-01-01,2018-06-17
59,2016-09-01,2000-01-01,2000-01-01
60,2017-06-10,2000-01-01,2017-06-12
62,2019-01-16,2000-01-01,2000-01-01
63,2018-03-14,2000-01-01,2000-01-01
64,2017-11-26,2000-01-01,2000-01-01
65,2015-06-26,2000-01-01,2000-01-01
66,2015-06-16,2000-01-01,2000-01-01
